frame,nis
1,0.0
2,0.09206962746214419
3,0.15286635866179552
4,0.4610060997573129
5,0.01477572505781122
6,0.3806467827163791
7,0.2671959291318219
8,0.31673661605211256
9,0.3117598039368859
10,0.264823961731579
11,0.5253216401483598
12,0.33785457192673557
13,0.03913990690411371
14,0.08012639057964556
15,0.25837757670028433
16,0.2609882174550615
17,0.08084842968085865
18,0.22575692372920333
19,0.12485353247504453
20,0.2597265208299987
21,0.23657531978679175
22,0.19150482384144143
23,0.15227002966628264
24,0.43074824352675545
25,0.5548166093996414
26,0.4825143500662451
27,0.11805709118056218
28,0.45001687870168444
29,0.25908790563348205
30,0.23906869608185471
31,0.10587957485627979
32,0.33649931311310244
33,0.21573925834421878
34,0.3942742003316405
35,0.06205026885094399
36,9.228713141667185e-06
37,0.08786035165850853
38,1.6330605213552802
39,1.0339530811529987
40,1.082266126821849
41,0.05072552270979123
42,0.09002840895134576
43,0.8082846034856073
44,0.6458022361282828
45,0.7608758907972971
46,1.2553767386105363
47,0.5838526750040891
48,0.4541509651164198
49,0.7770625317408605
50,0.9225546348363842
51,0.7356868909895704
52,0.7443767188320818
53,1.1022043558118533
54,1.367847322167774
55,1.07668026947721
56,0.8762346708405104
57,0.45635255100684463
58,0.21549548073173483
59,1.2018331590762263
60,0.01912694287504119
61,849.3691530484157
62,435.04370497267774
63,271.9448099513094
64,300.9094503490367
65,333.51764425156875
66,250.19914789535474
67,111.08673736256131
68,56.30361222570718
69,29.336133153536885
70,8.446212568507205
71,2.255520583646829
72,0.8512453056480784
73,1.5783012233641596
74,1.942686220176986
75,2.4004145330393194
76,3.6362297922079883
77,3.7217625231430524
78,4.457678415137618
79,5.554402329938726
80,4.263707415462557
81,3.0257385783640043
82,3.245906511311996
83,2.9069549087847784
84,1.144128698294328
85,0.542899180527032
86,0.5853110227894764
87,0.11770206777027217
88,0.1516938037594463
89,0.05945579105634741
90,0.04023523723462059
91,0.012622361412162901
92,0.01945731758556898
93,0.014516488088650272
94,0.24095452101256298
95,0.023105147661765246
96,0.04878738446047742
97,0.06342230414771788
98,0.03634013086752564
99,0.016237705625671634
100,0.0050305991495807655
101,0.2808312921376604
102,0.0008030943967843368
103,0.012238769666789972
104,0.1139670291673604
105,0.06009076120074336
106,0.009766967489054668
107,0.06764817026651791
108,0.2045359008261443
109,0.11760881140590147
110,0.33363000293430256
111,0.6702307182993062
112,0.37610001482695454
113,0.5713251107821736
114,0.25719800543768495
115,0.10527945373982442
116,0.012693713210328608
117,0.01120631793461142
118,0.18974448164414395
119,0.11458059853401016
120,0.015309584774983977
121,0.048367583384508
122,0.09463367744434352
123,0.10769766547134228
124,0.255167401862813
125,0.27865361976355174
126,0.152389214902007
127,0.31896220030229966
128,0.19652611171661447
129,0.1630573394249869
130,0.23154193623771127
131,0.04415898974057185
132,0.08235509576226416
133,0.005252115677100955
134,0.026635950675083522
135,0.021896726655522634
136,0.0057426751003846295
137,0.00901760423323813
138,0.011031066442794528
139,0.023293399829728792
140,0.0036549744314288307
141,0.21875851894580478
142,0.05150252339036634
143,0.251119380328194
144,0.4775747371969198
145,0.13358123068695188
146,0.04509019138238389
147,0.002375715742665828
148,0.008447543619993196
149,0.009823774306563568
150,0.056628890506537695
151,0.19987340536280665
152,0.27101309237585114
153,0.5257370224770513
154,0.41295883002921474
155,0.35517147012321665
156,0.6140641779880389
157,0.5383876367906498
158,0.3730353360846607
159,0.5464883190685531
160,0.7056926027572678
161,1.0350034203043244
162,0.6135610526998055
163,0.41536393874826966
164,0.07827521712283217
165,0.03477384669164613
166,0.05473383233819679
167,0.03372922957627691
168,0.02332618141315277
169,0.09730278778232059
170,0.9519047469303514
171,0.405706414679021
172,0.20831281116476946
173,0.3377516417926912
174,0.2931724916748165
175,0.4639382398982945
176,0.43729499061721727
177,0.3284437735349009
178,0.4304101474757809
179,0.22735460837563218
180,0.38219121117314214
181,0.14934466701163354
182,0.08120549832282886
183,0.08778480838034958
184,0.1456939547257497
185,0.05296835455477966
186,0.08102075486400326
187,0.04585505560600521
188,0.010180418897729483
189,0.002030270108594314
190,0.00944740414205174
191,0.004523455033410556
192,0.596415291614293
193,0.3315358644870388
194,0.0208631551146102
195,0.04329855855964519
196,0.10260269454114258
197,0.015442203078183024
198,0.10248053350769139
199,0.08600988164130685
200,0.9237886373626438
201,2.8120425626842973
202,666.308983707353
203,333.02959782813656
204,140.92673994046143
205,45.10622871404196
206,6.719820278182953
207,1008.4599709621189
208,620.1666770837821
209,165.1628726668821
210,539.4384238824865
211,291.3289210262464
212,412.9089426090249
213,263.04436667394634
214,131.898388243646
215,11.235704663529038
216,651.3128863662226
217,361.72396208741776
218,302.28175753557025
219,177.1371542116732
220,87.6169799927539
221,25.233849905350063
222,9.097086138862533
223,2.885552587378838
224,0.63419283000078
225,1080.0637002606595
226,589.6633984780201
227,290.7541680497112
228,120.23821702477316
229,500.80865590147914
